Date,Mean,Qual,Cutoff,Site
2022-01-17 07:00:00,0.601,2,2022-01-17,405325
2022-01-17 08:00:00,0.599,2,2022-01-17,405325
2022-01-17 09:00:00,0.6,2,2022-01-17,405325
2022-01-17 10:00:00,0.6,2,2022-01-17,405325
2022-01-17 11:00:00,0.6,2,2022-01-17,405325
2022-01-17 12:00:00,0.6,2,2022-01-17,405325
2022-01-17 13:00:00,0.601,2,2022-01-17,405325
2022-01-17 14:00:00,0.6,2,2022-01-17,405325
2022-01-17 15:00:00,0.598,2,2022-01-17,405325
2022-01-17 16:00:00,0.597,2,2022-01-17,405325
2022-01-17 17:00:00,0.594,2,2022-01-17,405325
2022-01-17 18:00:00,0.593,2,2022-01-17,405325
2022-01-17 19:00:00,0.591,2,2022-01-17,405325
2022-01-17 20:00:00,0.59,2,2022-01-17,405325
2022-01-17 21:00:00,0.586,2,2022-01-17,405325
2022-01-17 22:00:00,0.584,2,2022-01-17,405325
2022-01-17 23:00:00,0.584,2,2022-01-17,405325
2022-01-18 00:00:00,0.583,2,2022-01-18,405325
2022-01-18 01:00:00,0.582,2,2022-01-18,405325
2022-01-18 02:00:00,0.582,2,2022-01-18,405325
2022-01-18 03:00:00,0.58,2,2022-01-18,405325
2022-01-18 04:00:00,0.578,2,2022-01-18,405325
2022-01-18 05:00:00,0.576,2,2022-01-18,405325
2022-01-18 06:00:00,0.574,2,2022-01-18,405325
2022-01-18 07:00:00,0.57,2,2022-01-18,405325
2022-01-18 08:00:00,0.567,2,2022-01-18,405325
2022-01-18 09:00:00,0.564,2,2022-01-18,405325
2022-01-18 10:00:00,0.564,2,2022-01-18,405325
2022-01-18 11:00:00,0.566,2,2022-01-18,405325
2022-01-18 12:00:00,0.568,2,2022-01-18,405325
2022-01-18 13:00:00,0.569,2,2022-01-18,405325
2022-01-18 14:00:00,0.569,2,2022-01-18,405325
2022-01-18 15:00:00,0.568,2,2022-01-18,405325
2022-01-18 16:00:00,0.567,2,2022-01-18,405325
2022-01-18 17:00:00,0.563,2,2022-01-18,405325
2022-01-18 18:00:00,0.562,2,2022-01-18,405325
2022-01-18 19:00:00,0.561,2,2022-01-18,405325
2022-01-18 20:00:00,0.563,2,2022-01-18,405325
2022-01-18 21:00:00,0.564,2,2022-01-18,405325
2022-01-18 22:00:00,0.566,2,2022-01-18,405325
2022-01-18 23:00:00,0.569,2,2022-01-18,405325
2022-01-19 00:00:00,0.57,2,2022-01-19,405325
2022-01-19 01:00:00,0.566,2,2022-01-19,405325
