Station Name,Time/Day,Height,Tendency,Flood Class,Scraped,State
Shoalhaven R at Hillview,2.00pm Thu,2.16,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Shoalhaven R at Fossickers Flat,2.30pm Thu,2.24,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Kangaroo R at Hampden Br,1.28pm Thu,0.78,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Shoalhaven R at Tallowa Dam,2.00pm Thu,0.28,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Danjera Ck at Danjera Dam,3.21pm Thu,0.33,,,2022-10-13 16:07:30.866648+11:00,NSW
Danjera Ck U/S Dam,3.33pm Thu,0.03,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Shoalhaven R at Grassy Gully,2.00pm Thu,3.02,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Shoalhaven R at Nowra (AHD),3.15pm Thu,0.53,falling,below minor,2022-10-13 16:07:30.866648+11:00,NSW
Shoalhaven R at Shoalhaven Heads,3.44pm Thu,0.24,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Crookhaven R at Greenwell Pt,3.01pm Thu,0.19,,,2022-10-13 16:07:30.866648+11:00,NSW
Crookhaven R at Crookhaven Heads,3.16pm Thu,-0.03,falling,,2022-10-13 16:07:30.866648+11:00,NSW
Lake Wollumboola,3.15pm Thu,0.48,steady,,2022-10-13 16:07:30.866648+11:00,NSW
Canning Ck at Woodspring,1.45pm Thu,1.71,falling,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Macintyre Bk at Inglewood Br,2.17pm Thu,2.05,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Gold Ck Reservoir,12.29pm Thu,92.70,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Breakfast Ck at Bowen Hills Rail,2.37pm Thu,0.43,falling,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Enoggera Ck at Bancroft Pk K Grove,12.59pm Thu,1.87,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Ithaca Ck at Jason St Ithaca,2.15pm Thu,0.76,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Ithaca Ck at Lugg St,10.07am Thu,12.50,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Ithaca Ck at Bardon Detention,1.32pm Thu,71.42,steady,,2022-10-13 16:07:30.866648+11:00,QLD
Enoggera Reservoir,12.00pm Thu,74.43^,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Moggill Ck at Upper Brookfield,2.00pm Thu,0.54,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Moggill Ck at Fortrose St Kenmore,11.23am Thu,3.94,steady,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Pullen Pullen Ck Pinjarra Rd,2.38pm Thu,1.00,falling,below minor,2022-10-13 16:07:30.866648+11:00,QLD
Kedron Bk at Osborne Rd Mitchelton,11.45am Thu,29.78,rising,below minor,2022-10-13 16:07:30.866648+11:00,QLD
